Season,Season Type,Team ID,Player ID,Pos,Rookie,Age,GP,G,A,PTS,PM,PPG,SHG,GWG,MIN,SEC,W,L,T,ShO,GA,GAA,ENA,SA,SP,Team_Award,Tournament ID
2007-08,Regular Season,Montréal Stars,Poulin_Marie_Philip,Unknown,R,16.9,16,22,21,43,16,2,1,4,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Oles_Leslie,Unknown,R,17.2,20,16,16,32,28,5,0,5,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Laforge_Caroline,Unknown,NA,20.2,23,12,20,32,34,4,0,2,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Breton_Lisa_Marie,Unknown,NA,30.5,25,11,21,32,58,3,0,1,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Déry_Nathalie,Unknown,NA,31.7,27,7,20,27,72,2,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Weatherston_Katie,Unknown,R,24.8,2,2,4,6,4,2,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Roy_Mélissa83,Unknown,NA,24.1,25,7,11,18,34,1,0,3,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Sudia_Kelly,Unknown,NA,27.6,27,1,12,13,22,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Bourbeau_Stéfanie,Unknown,R,23.4,26,6,5,11,38,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Privée_Brittany,Unknown,R,25.9,25,3,6,9,28,0,0,1,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Paquette_Valérie,Unknown,R,24.4,10,4,3,7,12,0,0,2,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Laflamme_Brigitte,Unknown,R,25.2,14,3,3,6,12,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Nadeau_Geneviève,Unknown,NA,32.5,7,2,4,6,10,0,1,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Desrosiers_Annie,Unknown,NA,27.5,4,2,3,5,0,1,1,1,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,De_Abreu_Catherine,Unknown,NA,29.1,15,1,4,5,4,0,0,1,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Dagenais_Sara,F,R!,20.2,5,2,2,4,2,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Rougeau_Lauriane,Unknown,NA,17.8,6,2,2,4,10,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Laramee_Paquette_Veronique,Unknown,NA,19.2,4,2,1,3,2,1,0,1,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Roy_Sabrina,Unknown,NA,30.2,6,2,1,3,4,1,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Thibault_Vanessa,Unknown,R!,18.1,4,1,2,3,2,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Proulx_Caroline,Unknown,NA,31.5,5,1,2,3,8,1,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Paradis_Stéphanie,Unknown,NA,22.8,14,1,1,2,4,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Grignon_Anouk,Unknown,NA,27.7,16,1,1,2,12,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,CWHL Eastern title,CWHL
2007-08,Regular Season,Montréal Stars,Mantha_Élizabeth,Unknown,R!,17.5,6,0,2,2,4,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Bertrand_Catherine,Unknown,NA,31.6,2,1,0,1,4,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Adams_Sarah,Unknown,R!,NA,1,0,1,1,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Taylor_Lynsey,Unknown,R!,NA,1,0,1,1,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Dumais_Camille,Unknown,R!,17.5,2,0,1,1,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Boulanger_Alexandra,Unknown,R,19.7,4,0,1,1,4,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
2007-08,Regular Season,Montréal Stars,Garcia_Alexandra,G,R!,18.6,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,?,NA,CWHL
2007-08,Regular Season,Montréal Stars,Bérubé_Caroline,Unknown,NA,25,1,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,NA,CWHL
