Player,Team,P,Season,start_year,end_year,dob,age_in_season,GP,G,A1,A2,SOG,FOW,FOL,PenT,game_score,game_score_game
Abby Niewchas,MET,D,2019-2020,2019,2020,1997,22,1,0,0,0,0,0,0,0,0,0
Adelle Murphy,BOS,F,2018-2019,2018,2019,1994,24,1,0,0,0,1,0,0,0,0.1,0.1
Alex Carpenter,BOS,F,2016-2017,2016,2017,1994,22,17,9,12,8,57,0,0,0,30.78,1.81
Alexa Aramburu,CTW,F,2019-2020,2019,2020,1995,24,6,0,0,0,17,15,9,2,2.06,0.34
Alexa Aramburu,MET,F,2018-2019,2018,2019,1995,23,11,0,3,0,10,0,0,0,3.7,0.34
Alexa Gruschow,MET,F,2018-2019,2018,2019,1994,24,16,2,1,1,25,0,0,0,6.06,0.38
Alexa Gruschow,NYR,F,2016-2017,2016,2017,1994,22,18,2,3,5,26,0,0,0,10.6,0.59
Alexa Gruschow,MET,F,2017-2018,2017,2018,1994,23,16,9,9,4,38,0,0,0,23.54,1.47
Alexandra Bender,BOS,D,2016-2017,2016,2017,NA,NA,17,2,3,1,22,0,0,0,7.56,0.44
Allie Lacombe,CTW,F,2019-2020,2019,2020,1993,26,5,0,1,0,6,23,13,1,2.45,0.49
Allie Olnowich,MET,NA,2020-2021,2020,2021,1998,22,3,0,0,0,4,0,0,0,0.4,0.13
Allie Thunstrom,MIN,NA,2020-2021,2020,2021,1988,32,4,0,0,0,11,0,4,2,0.36,0.09
Allie Thunstrom,MIN,F,2018-2019,2018,2019,1988,30,16,5,4,0,52,0,0,0,13.8,0.86
Allie Thunstrom,MIN,F,2019-2020,2019,2020,1988,31,24,24,9,3,142,19,10,3,48.82,2.03
Alyson Matteau,BUF,NA,2020-2021,2020,2021,1997,23,6,0,2,0,9,0,0,1,2.55,0.43
Alyssa Gagliardi,BOS,D,2015-2016,2015,2016,1992,23,17,0,4,2,25,0,0,0,7.42,0.44
Alyssa Gagliardi,BOS,D,2017-2018,2017,2018,1992,25,16,2,5,1,34,0,0,0,10.56,0.66
Alyssa Gagliardi,BOS,D,2018-2019,2018,2019,1992,26,16,1,2,3,28,0,0,0,7.58,0.47
Alyssa Gagliardi,BOS,D,2016-2017,2016,2017,1992,24,17,0,4,1,21,0,0,0,6.36,0.37
Alyssa Wohlfeiler,BOS,F,2019-2020,2019,2020,1989,30,14,5,9,2,31,0,0,11,15.87,1.13
Alyssa Wohlfeiler,CTW,F|D,2015-2016,2015,2016,1989,26,17,3,2,2,21,0,0,0,8.22,0.48
Alyssa Wohlfeiler,CTW,NA,2020-2021,2020,2021,1989,31,4,1,3,1,13,0,0,2,5.36,1.34
